Task,BERT-b/DBERT-b FFT,BERT-b/DBERT-b LoRA,BERT-b/DBERT-b KD-LoRA,DeB-b/DeB-s FFT,DeB-b/DeB-s LoRA,DeB-b/DeB-s KD-LoRA,RoB-b/DRoB-b FFT,RoB-b/DRoB-b LoRA,RoB-b/DRoB-b KD-LoRA
CoLA,57.7,56.9,56.3,67.8,69.1,68.1,60.9,59.4,56.8
MNLI_m,84.5,83.4,82.0,90.3,90.3,88.8,87.7,87.2,83.3
MNLI_mm,84.9,83.9,82.4,90.6,90.2,89.0,87.4,86.9,83.4
MRPC,89.0,89.2,88.3,91.9,90.9,90.7,91.1,89.9,89.3
QNLI,91.8,91.1,89.7,94.1,94.3,93.4,92.7,92.8,90.7
QQP,89.7,87.9,89.1,91.2,90.4,89.9,89.8,88.6,87.3
RTE,71.6,70.1,64.0,85.0,84.0,78.8,74.8,71.8,65.3
SST-2,92.8,92.6,92.0,95.9,96.0,95.7,94.3,94.2,92.9
STS-B,89.5,88.9,88.7,91.5,91.1,89.8,90.8,90.3,87.9
WNLI,56.3,56.9,56.3,66.9,56.3,56.3,56.3,56.3,56.3
Score,80.8,80.1,78.9,86.5,85.3,84.1,82.6,81.7,79.3